review_id,stars,date,title,text,source,product,version,vote_count,place_name,address,city,state,latitude,longitude,google_rating,total_reviews_at_location
14196223886,2,2026-06-17,Slow,Takes 4 minutes to load but wide variety,app_store,Bass Pro Shops,26.6.3,0,,,,,,,,
14191994781,5,2026-06-16,Review,My orders always arrive on time.,app_store,Bass Pro Shops,26.6.3,0,,,,,,,,
14175857962,1,2026-06-12,Software updates,Consistently have more problems after they make patches. Now can’t get keyboard to work properly on logins.,app_store,Bass Pro Shops,26.6.3,0,,,,,,,,
14148085027,3,2026-06-05,Please Fix,I added items to my cart online. I opened the app via the webpage and it takes me to the App Store. I then have to click open there to go to app. Cart doesn’t carry through - shows an empty cart. Just did update and signed in. Tried multiple times - won’t work. I don’t want to have to look everything up again on the app. I saw products I wanted online but when I tap them they go to the website and not the app. Please fix. Thanks. ***Finally got it to carry over but app still has to open through the App Store - extra unnecessary step.,app_store,Bass Pro Shops,26.5.5,0,,,,,,,,
14140712513,5,2026-06-03,Great stuff,Love it find out yourself how smooth it gose 👌,app_store,Bass Pro Shops,26.5.5,0,,,,,,,,
14132200733,1,2026-06-01,Worst,"The worst online store... I bought a product, and the shipping cost nearly double. I waited outside my house for it, but they never delivered it. I do not recommend this store; it is a scam.",app_store,Bass Pro Shops,26.5.2,0,,,,,,,,
14115682245,4,2026-05-28,Great,Great app for fishing stuff,app_store,Bass Pro Shops,26.5.2,0,,,,,,,,
14114118375,1,2026-05-27,Glitches,You have to save a CC to order instead of just adding it at checkout. Also app is very glitchy and I will be deleting it,app_store,Bass Pro Shops,26.5.2,0,,,,,,,,
14094122520,1,2026-05-22,Website,"Has asked me twice to use my location. I gave it permission twice. Showing me a store 12 hrs away. I manually entered Leeds store, still gave me 12 hour away store. I gave up.",app_store,Bass Pro Shops,26.5.1,0,,,,,,,,
14076390429,1,2026-05-17,App not compatible with iPad,"Self explanatory title. The app is not compatible with iPad keyboard. No keys pop up to even login. Pretty much useless. And yes, my keyboard works just fine with all other apps on my device.",app_store,Bass Pro Shops,26.5.1,0,,,,,,,,
14076231522,1,2026-05-17,Poe,Poe ah bass pro,app_store,Bass Pro Shops,26.5.1,0,,,,,,,,
14053895216,3,2026-05-11,order,"great app, wish it was easier to find out how to track my order it’s confusing",app_store,Bass Pro Shops,26.4.8,0,,,,,,,,
14043173202,1,2026-05-08,Cook with Cabelas,"2nd Update: because I was asked to give another review, I will. The cook with Cabela’s app is horrible and does not work well at all. It needs to be its own app or rolled into Camp Chef. Will not recommend this at all. I would give this -5/5 if it was an option.   Update: The pellet grill portion of the app is still not good. Maybe even more unusable than before. Desperately needs to be its own app or joined with the camp chef app. Connection issues continue to plague the usability of the app. Every time you check the temp of the probs or change settings, the grill needs to reconnect. Very frustrating and disappointing.  Original:The cook with Cabelas app should be its own app. It’s not the best and seems clunky. Doesn’t stay connected all the time while grilling.",app_store,Bass Pro Shops,26.4.8,0,,,,,,,,
14018981428,1,2026-05-01,Terrible checkout,Worst checkout process of any app I’ve ever used. No Apple Pay. Putting in your info is super buggy and barely works. Can’t even paste in credit card info,app_store,Bass Pro Shops,26.4.8,0,,,,,,,,
